,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
148,ardmore,18,US,88,1558330541,34.99,-86.85,70.0,5.66
149,guerrero negro,1,MX,88,1558330541,27.97,-114.04,62.74,9.31
150,manggar,97,ID,60,1558330541,-2.88,108.27,89.56,7.78
151,lebu,75,ET,87,1558330542,8.96,38.73,55.4,3.36
152,khatanga,70,RU,89,1558330542,71.98,102.47,23.14,15.68
153,katsuura,75,JP,88,1558330355,33.93,134.5,75.2,27.51
154,butembo,77,CD,61,1558330542,0.12,29.29,73.72,0.87
155,nanortalik,48,GL,72,1558330542,60.14,-45.24,37.0,7.38
156,cidreira,40,BR,94,1558330543,-30.17,-50.22,65.8,4.18
157,sabla,30,NG,45,1558330543,12.75,4.71,89.2,15.95
158,harnosand,0,SE,76,1558330543,62.63,17.94,55.99,1.12
159,ridgecrest,21,US,45,1558330543,35.62,-117.67,53.01,15.01
160,ulaangom,44,MN,18,1558330543,49.98,92.07,67.42,13.69
161,flinders,0,AU,46,1558330544,-34.58,150.85,73.99,10.29
162,haines junction,36,CA,46,1558330375,60.75,-137.51,48.16,7.31
163,richards bay,0,ZA,60,1558330544,-28.77,32.06,72.64,16.49
164,egersund,70,NO,93,1558330544,58.45,6.0,57.99,3.6
165,englehart,90,CA,100,1558330545,47.82,-79.87,41.0,13.87
166,honiara,75,SB,66,1558330545,-9.43,159.96,89.6,5.82
167,hofn,100,IS,95,1558330545,64.25,-15.21,36.1,7.7
168,japura,79,ID,55,1558330546,-0.42,102.29,90.64,3.06
169,darnah,70,LY,79,1558330546,32.77,22.64,67.06,11.36
170,chambery,75,FR,100,1558330355,45.57,5.93,55.4,3.36
171,coihaique,0,CL,92,1558330404,-45.58,-72.07,30.2,3.36
172,bonavista,95,CA,87,1558330546,48.65,-53.11,36.0,18.99
173,dunedin,65,NZ,68,1558330341,-45.87,170.5,54.0,11.99
174,birjand,0,IR,14,1558330547,32.86,59.22,80.6,4.7
175,ishigaki,75,JP,94,1558330547,24.34,124.16,78.8,4.7
176,mehamn,0,NO,69,1558330547,71.03,27.85,41.0,13.87
177,bandarbeyla,72,SO,56,1558330547,9.49,50.81,86.86,10.16
178,esso,96,RU,89,1558330548,55.93,158.7,33.04,8.61
179,ixtapa,5,MX,83,1558330548,20.71,-105.21,77.0,6.6
180,tiksi,40,RU,83,1558330388,71.64,128.87,19.18,13.8
181,vila,75,IT,100,1558330549,45.18,8.4,55.99,2.24
182,dubai,0,AE,38,1558330482,25.27,55.3,93.2,5.82
183,belaya gora,86,RU,39,1558330549,68.54,146.19,29.26,2.17
184,nyaunglebin,51,MM,30,1558330549,17.95,96.73,107.56,2.89
185,pevek,71,RU,69,1558330550,69.7,170.27,29.8,5.41
186,arraial do cabo,1,BR,87,1558330375,-22.97,-42.02,70.84,4.43
187,saint-pierre,90,FR,93,1558330550,48.95,4.24,53.01,9.17
188,namibe,0,AO,78,1558330358,-15.19,12.15,69.76,11.3
189,nagai,40,JP,39,1558330551,38.14,139.98,80.6,18.34
190,katobu,91,ID,74,1558330551,-4.94,122.53,86.32,3.31
191,geraldton,75,CA,60,1558330345,49.72,-86.95,42.8,5.82
192,gushikawa,90,JP,94,1558330551,26.35,127.87,80.01,8.05
193,freeport,17,BS,72,1558330461,26.54,-78.7,79.3,11.95
194,brownsburg,75,US,93,1558330552,39.84,-86.4,63.0,9.17
195,ornskoldsvik,0,SE,66,1558330552,63.29,18.72,55.4,2.24
196,kuna,90,US,100,1558330552,43.49,-116.42,51.8,3.27
197,gat,0,SN,82,1558330371,14.69,-16.54,68.0,13.87
198,lulea,0,SE,71,1558330343,65.58,22.15,53.6,1.57
199,oyama,75,JP,56,1558330553,36.31,139.8,78.01,17.22
200,paita,97,PE,89,1558330553,-5.09,-81.11,69.4,15.86
201,mmathubudukwane,0,BW,76,1558330553,-24.61,26.43,48.2,5.82
202,tuktoyaktuk,75,CA,93,1558330352,69.44,-133.03,35.6,11.41
203,fairbanks,90,US,48,1558330554,64.84,-147.72,62.6,5.82
204,alta floresta,82,BR,86,1558330554,-9.87,-56.08,71.2,2.91
205,kisangani,56,CD,69,1558330554,0.52,25.21,77.68,0.83
206,mansehra,36,PK,26,1558330555,34.33,73.2,78.22,3.31
207,hasaki,75,JP,64,1558330348,35.73,140.83,73.0,18.34
208,mar del plata,0,AR,58,1558330361,-46.43,-67.52,37.72,9.93
209,puerto penasco,34,MX,43,1558330555,31.32,-113.53,72.0,8.01
210,walvis bay,90,NA,100,1558330556,-22.95,14.51,54.0,10.29
211,bambous virieux,75,MU,88,1558330373,-20.34,57.76,79.0,14.99
212,diego de almagro,51,CL,96,1558330556,-26.39,-70.05,50.5,2.15
213,escanaba,90,US,93,1558330556,45.75,-87.06,42.01,6.93
214,sao miguel do araguaia,63,BR,71,1558330556,-13.28,-50.16,70.12,4.45
215,ouadda,100,CF,86,1558330557,8.07,22.4,73.54,5.59
216,castro,40,CL,100,1558330346,-42.48,-73.76,39.2,9.17
217,tawau,40,MY,59,1558330557,4.26,117.89,91.4,6.93
218,jadu,100,LY,36,1558330557,31.95,12.03,75.7,3.33
219,haukipudas,47,FI,67,1558330309,65.17,25.5,59.0,8.05
220,hami,71,CN,5,1558330558,42.84,93.51,74.44,7.27
221,san quintin,52,PH,54,1558330558,17.54,120.52,93.34,10.45
222,taoudenni,100,ML,60,1558330349,22.68,-3.98,75.34,22.5
223,voi,81,KE,68,1558330558,-3.4,38.57,74.62,6.96
224,ponta do sol,8,BR,97,1558330559,-20.63,-46.0,57.16,1.21
225,wuchi,28,NG,45,1558330559,13.33,5.43,89.38,17.52
226,tiznit,0,MA,83,1558330559,29.7,-9.73,64.9,18.92
227,umm kaddadah,97,SD,18,1558330559,13.6,26.69,91.36,6.87
228,kapuskasing,90,CA,56,1558330559,49.42,-82.43,41.0,11.41
229,gimli,78,CA,67,1558330384,50.63,-96.99,46.99,4.0
230,kysyl-syr,92,RU,42,1558330560,63.9,122.77,44.02,4.76
231,rauma,0,FI,51,1558330316,61.13,21.5,62.6,5.82
232,noumea,2,NC,50,1558330381,-22.28,166.46,75.2,19.46
233,mongu,92,ZM,45,1558330560,-15.27,23.14,68.86,3.91
234,olavarria,100,AR,78,1558330372,-36.89,-60.32,45.28,2.93
235,lata,46,IN,45,1558330561,30.78,78.62,43.84,7.2
236,cuajinicuilapa,1,MX,73,1558330561,16.47,-98.41,80.56,1.54
237,macau,79,BR,92,1558330561,-5.11,-36.64,75.7,9.8
238,phetchabun,20,TH,44,1558330562,16.42,101.16,98.6,5.82
239,east london,0,ZA,87,1558330148,-33.02,27.91,60.8,4.7
240,teya,5,MX,62,1558330562,21.05,-89.07,84.2,14.99
241,luderitz,0,NA,80,1558330112,-26.65,15.16,58.6,2.73
242,marsh harbour,0,BS,79,1558330562,26.54,-77.06,77.14,13.13
243,port elizabeth,1,US,77,1558330351,39.31,-74.98,75.2,9.62
244,nome,1,US,83,1558330563,30.04,-94.42,79.0,3.36
245,tilichiki,100,RU,79,1558330563,60.47,166.1,38.98,14.81
246,abengourou,100,CI,95,1558330563,6.73,-3.5,73.18,2.64
247,teknaf,34,BD,82,1558330563,20.86,92.31,85.6,11.03
248,ponta delgada,75,PT,88,1558330564,37.73,-25.67,62.6,12.75
249,noyon,90,FR,93,1558330564,49.58,3.0,53.01,10.29
250,kargasok,42,RU,50,1558330564,59.06,80.87,53.2,15.64
251,yacuiba,46,AR,99,1558330564,-22.01,-63.68,55.9,2.15
252,valparaiso,40,US,67,1558330565,41.47,-87.06,61.0,11.41
253,dingle,30,PH,41,1558330372,11.0,122.67,95.5,8.08
254,jiuquan,100,CN,9,1558330565,39.73,98.49,65.26,9.71
255,sangar,36,RU,28,1558330565,63.92,127.47,45.1,13.53
256,borovoy,61,RU,47,1558330566,63.23,52.89,41.5,10.65
257,deputatskiy,0,RU,77,1558330566,69.3,139.9,15.76,3.89
258,comodoro rivadavia,0,AR,52,1558330566,-45.87,-67.48,41.0,11.41
259,nyurba,82,RU,37,1558330566,63.29,118.35,49.6,4.47
260,severo-kurilsk,83,RU,91,1558330567,50.68,156.12,38.98,18.84
261,mahebourg,75,MU,88,1558330337,-20.41,57.7,79.0,14.99
262,lagoa,0,PT,87,1558330567,37.14,-8.45,55.99,4.7
263,yarmouth,20,GB,81,1558330568,50.71,-1.5,55.0,3.36
264,port lincoln,58,AU,77,1558330568,-34.72,135.86,63.46,16.33
265,victoria,75,BN,74,1558330568,5.28,115.24,89.6,3.36
266,pangoa,76,PE,78,1558330569,-12.12,-73.0,68.86,2.08
267,luganville,75,VU,88,1558330569,-15.51,167.18,78.8,9.17
268,wasilla,90,US,58,1558330350,61.58,-149.44,55.4,0.89
269,avarua,100,CK,88,1558330368,-21.21,-159.78,71.6,10.29
270,lokosovo,66,RU,36,1558330569,61.13,74.84,56.08,14.03
271,rio gallegos,0,AR,56,1558330385,-51.62,-69.22,42.8,25.28
272,luebo,82,CD,92,1558330570,-5.35,21.42,72.82,0.45
273,botou,0,CN,10,1558330570,38.08,116.55,80.74,15.88
274,mezen,24,RU,56,1558330570,65.85,44.24,40.06,10.69
275,hithadhoo,99,MV,71,1558330368,-0.6,73.08,83.44,1.54
276,bela,75,PK,37,1558330571,26.23,66.31,89.38,6.13
277,stafford,75,GB,93,1558330324,52.81,-2.12,50.0,8.05
278,kloulklubed,75,PW,66,1558330571,7.04,134.26,87.8,11.41
279,acapulco,20,MX,83,1558330336,16.86,-99.88,78.8,5.82
280,havre-saint-pierre,75,CA,69,1558330572,50.23,-63.6,39.2,6.93
281,mount isa,0,AU,30,1558330572,-20.73,139.49,86.0,11.41
282,notse,91,TG,90,1558330572,6.95,1.17,76.24,4.45
283,mahibadhoo,69,MV,70,1558330573,3.78,72.97,86.32,9.55
284,codrington,90,AU,73,1558330573,-28.95,153.24,71.6,2.24
285,mount gambier,40,AU,63,1558330573,-37.83,140.78,62.6,17.22
286,fortuna,0,ES,82,1558330370,38.18,-1.13,61.0,3.36
287,kholodnyy,100,RU,65,1558330573,62.72,147.95,28.9,7.23
288,moose factory,75,CA,78,1558330574,51.26,-80.61,32.0,5.82
289,luanda,99,AO,79,1558330574,-8.83,13.24,80.38,10.58
290,cayenne,20,GF,100,1558330574,4.94,-52.33,75.2,4.34
291,husavik,99,CA,66,1558330574,50.56,-96.99,46.99,5.01
292,billings,90,US,60,1558330371,45.79,-108.5,42.8,13.87
293,abu dhabi,0,AE,52,1558330343,24.47,54.37,87.8,16.11
294,kangundo,75,KE,88,1558330299,-1.3,37.35,64.4,4.7
295,ayan,0,TR,44,1558330575,40.67,33.6,59.86,3.4
296,kodinsk,100,RU,35,1558330575,58.6,99.18,68.86,12.24
297,louth,97,GB,100,1558330408,53.37,0.0,51.01,8.05
298,leningradskiy,0,RU,81,1558330347,69.38,178.42,24.4,6.04
299,tanout,64,NE,38,1558330576,14.97,8.88,87.76,10.54
300,ostrovnoy,1,RU,70,1558330576,68.05,39.51,38.26,5.01
301,opuwo,0,NA,42,1558330576,-18.06,13.84,61.66,1.34
302,kota belud,75,MY,70,1558330553,6.35,116.43,91.99,5.82
303,turtas,64,RU,45,1558330576,58.94,69.13,51.76,11.16
304,praia,0,BR,93,1558330577,-20.25,-43.81,60.8,1.12
305,yangmei,75,TW,83,1558330577,24.91,121.15,82.0,19.46
306,itarema,100,BR,96,1558330577,-2.92,-39.92,74.98,5.64
307,bud,0,NO,81,1558330578,62.91,6.91,55.99,4.7
308,coahuayana,47,MX,52,1558330375,18.62,-100.35,82.36,1.25
309,teguise,75,ES,68,1558330578,29.06,-13.56,68.0,14.99
310,norman wells,20,CA,45,1558330579,65.28,-126.83,64.4,4.7
311,balbalan,56,PH,74,1558330579,17.44,121.2,78.58,5.14
312,oriximina,100,BR,89,1558330435,-1.77,-55.87,76.96,4.0
